Contrast: CC_CM,,,,,,,
,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p
a427f68686c4ea38d1a0ab9eb8bbd226,0.060598,0.0298872,2.0275,0.0000,0.1212,0.06767,0.001
f407587d8d3cd8f9964b0e572b3b4b1a,0.056082,0.0484573,1.1573,0.1122,0.0000,0.13029,0.198
fa7c92df1f454a916defb614d7bfc201,0.046346,0.0370534,1.2508,0.0000,0.0927,0.18204,0.001
74f8324925049e692ded7c8f8131a7de,0.02742,0.0193276,1.4187,0.0209,0.0602,0.21266,0.038
819bbc9c4912a139af12b4a63169b11b,0.025046,0.022048,1.136,0.0501,0.0000,0.24063,0.271
9fa2dfda4205d2a9143fa7708f473785,0.023131,0.0137302,1.6847,0.0000,0.0463,0.26646,0.001
cb493cf3102179d939b8a47f700a786f,0.022629,0.0160614,1.4089,0.0161,0.0510,0.29173,0.021
5c2b47983d92cc3cc09bc005906b2212,0.020014,0.0140836,1.4211,0.0145,0.0449,0.31407,0.021
460704bd2880b6e0c87caa2070b20097,0.015706,0.0110245,1.4246,0.0119,0.0352,0.33161,0.031
2d9c0927c41fe00977c4cc751b5c52b4,0.012375,0.0080674,1.534,0.0092,0.0281,0.34543,0.021
56f7d0774a4d913fb9a6f90d13556a07,0.012038,0.0259983,0.463,0.0000,0.0241,0.35887,0.001
3ab7557febe64e685333aad58b7e3736,0.011775,0.012379,0.9512,0.0000,0.0236,0.37202,0.001
762f6d6923ed6173e9b63a54c7352e25,0.011744,0.0342266,0.3431,0.0235,0.0000,0.38513,0.715
6e22ee84b5b41d0926b5fbe90ba04d74,0.01134,0.0105152,1.0784,0.0126,0.0218,0.3978,0.204
c2d42d7943ed2272172e9fb912207aa6,0.010939,0.007248,1.5092,0.0000,0.0219,0.41001,0.001
c973431275d5739f32dd3ebed1394384,0.010708,0.0059631,1.7956,0.0000,0.0214,0.42197,0.001
e65fd9bdecd6971a6df6257338244e89,0.01058,0.0077291,1.3689,0.0078,0.0235,0.43378,0.035
0489a2c4ad6c23094e2775bc5768e11a,0.01023,0.0097295,1.0514,0.0205,0.0000,0.44521,0.383
0c73fd6df065639e44ba7c2bb2450e75,0.009677,0.0077984,1.241,0.0194,0.0000,0.45601,0.134
e36bdf6700966998f0c6929b13db80ab,0.009558,0.0064671,1.4779,0.0075,0.0210,0.46668,0.039
e2b9188899686397a7f4ea6ba61e8b36,0.009473,0.0110422,0.8579,0.0190,0.0000,0.47726,0.651
4a89c1f6bac785b62ff8f6105e4b148a,0.008618,0.0103183,0.8352,0.0000,0.0172,0.48689,0.001
476278b1928d77971d992a3bc16f2287,0.008431,0.0088453,0.9532,0.0169,0.0000,0.4963,0.404
6cbb4ad4bea065572ee15c90299997ed,0.007633,0.0055439,1.3768,0.0070,0.0181,0.50482,0.042
9fbf47232e3885758183b684feb5dab5,0.007525,0.0078417,0.9597,0.0151,0.0000,0.51323,0.479
c3e2558640eb1dd3b3ba6d8ac2b889d7,0.007315,0.0076665,0.9542,0.0000,0.0146,0.5214,0.001
8c536d82bebcc5fbda2a3288c2707262,0.007266,0.011448,0.6347,0.0145,0.0000,0.52951,0.572
f6334d26ed150d46dab2e4dbb7dcde62,0.007135,0.0049024,1.4554,0.0058,0.0157,0.53748,0.043
0c67b2090850ba9d58995f39c64d815d,0.006825,0.009652,0.7072,0.0000,0.0137,0.5451,0.002
6f82ee8dbad36eba987bbb3246cbd761,0.006757,0.008723,0.7747,0.0000,0.0135,0.55264,0.001
5d72d5e808490cf5440704d0c835deed,0.00569,0.0051406,1.1069,0.0000,0.0114,0.559,0.001
b95192f739d4edba244aa50a65ad657d,0.005548,0.0039371,1.4092,0.0040,0.0124,0.56519,0.024
f427cc77a3175ac760d5b1556b65ba17,0.005347,0.0036077,1.4822,0.0042,0.0117,0.57116,0.038
2207f640b549a0adc8ebbe87923716a4,0.005329,0.0085294,0.6248,0.0107,0.0000,0.57711,0.617
f030c94fb82f33f4c9e4fbc126d0e92f,0.005196,0.0059401,0.8748,0.0000,0.0104,0.58292,0.001
adbb1498f1dcfeed13db8c9f228f5eb4,0.005064,0.0034865,1.4524,0.0040,0.0114,0.58857,0.03
1efaffa2294e78c5de13126a78c415a6,0.004799,0.0059279,0.8095,0.0096,0.0000,0.59393,0.682
d1bf9c378fd51fc97553c2ef96454fa0,0.004762,0.0032559,1.4626,0.0037,0.0105,0.59925,0.038
305fad7794af19b61bd043d53cde28ec,0.00475,0.0034223,1.388,0.0035,0.0105,0.60455,0.031
c2556d10d86d2961efe7110b18d380c7,0.004462,0.0033467,1.3334,0.0031,0.0101,0.60953,0.017
936bca28075211d4feb2c1f3a7e35b02,0.003959,0.0056451,0.7013,0.0079,0.0000,0.61395,0.616
543d7a42d4b9fea815542d609fab0f0b,0.003871,0.003528,1.0973,0.0077,0.0000,0.61828,0.328
99d6d3ba86790b0bd16aedfea9bb94a4,0.003793,0.0076079,0.4985,0.0076,0.0000,0.62251,0.61
a0865ea5b2a1bdc38ec2cb743024b9f8,0.003746,0.010432,0.3591,0.0075,0.0000,0.6267,0.8
ca4ffcf0af147de181a46b22f59fb1ab,0.003728,0.0059852,0.6228,0.0075,0.0000,0.63086,0.791
1595b14f81b99e9b8566e27e368043c0,0.003699,0.0052289,0.7073,0.0074,0.0000,0.63499,0.65
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.003613,0.0026523,1.3623,0.0033,0.0085,0.63902,0.04
98d7c23154869a30b152984bc57c4300,0.00357,0.0053605,0.6659,0.0071,0.0000,0.64301,0.738
a8435d1618b07ecee76f76e08b9980e7,0.003534,0.0056256,0.6281,0.0000,0.0071,0.64696,0.002
b8b407152de97b7856915e4d2d8c9c68,0.003447,0.0064211,0.5368,0.0069,0.0000,0.6508,0.677
8f333c2ca048a5b10ef40cd14fc80032,0.003416,0.0105045,0.3252,0.0068,0.0000,0.65462,0.785
8a3a204a0f1d2b4da6523fd9cb146ac7,0.00339,0.0082797,0.4094,0.0068,0.0000,0.6584,0.744
72b5e7b223e0904d6dd5bfea86bdae1c,0.003359,0.0045362,0.7404,0.0006,0.0072,0.66215,0.001
2de60014913252c7d8d2830ed15c9b9d,0.003199,0.0056907,0.5621,0.0000,0.0064,0.66573,0.001
caee5691a4dbe612256a1fc03dcf708e,0.003177,0.0055603,0.5714,0.0064,0.0000,0.66927,0.611
1bbdfc8ae3af4a7658e0a4fea3254348,0.003061,0.0044402,0.6894,0.0000,0.0061,0.67269,0.003
f301e052b62fe5d864df32769338f255,0.003022,0.0127693,0.2366,0.0060,0.0000,0.67607,0.82
42ceed595d0c020f440dc19627f3ade2,0.003021,0.0015746,1.9187,0.0000,0.0060,0.67944,0.001
e1021c1298e2b2ad1b082f1e6207fe43,0.002938,0.0055557,0.5289,0.0059,0.0000,0.68272,0.776
531d650ecb3fd7e2f6fc8379ef51707a,0.002884,0.0098024,0.2942,0.0058,0.0000,0.68594,0.926
7df7475273ac2a79f8e733603742cde7,0.00282,0.0057498,0.4905,0.0056,0.0000,0.68909,0.81
cfe732db12ae9866a270556595ebe36c,0.002709,0.0039282,0.6897,0.0000,0.0054,0.69212,0.007
68b479e395e243786491bdd38a10dfa2,0.002707,0.0021272,1.2727,0.0054,0.0000,0.69514,0.121
35ba0ce07309312135a5e61c896e5c8a,0.002598,0.0017269,1.5045,0.0020,0.0057,0.69804,0.038
db199b887c3ff5e9d4eb835d6f327c92,0.002584,0.0027577,0.9369,0.0052,0.0000,0.70092,0.549
7e5e1b57435d8c971de251299b61ad2b,0.002551,0.003328,0.7665,0.0051,0.0000,0.70377,0.744
5a5cd60c401650043551c33f344c8522,0.002521,0.0017943,1.4052,0.0021,0.0057,0.70659,0.041
9b16b4c1436189ffe925e4ff233a486b,0.002479,0.0031801,0.7796,0.0000,0.0050,0.70936,0.001
3c4d1a8afcea355f06fa51248086a99f,0.002425,0.006189,0.3917,0.0048,0.0000,0.71206,1
7da5efa0b0570884fde640a758516f09,0.002347,0.0065092,0.3606,0.0047,0.0000,0.71469,1
79dce9d4c25f94ac010808d76be6be26,0.002337,0.0032117,0.7275,0.0047,0.0000,0.71729,0.719
bcd25b1bda3c580bdc6055d750d4c1db,0.002242,0.0031516,0.7113,0.0045,0.0000,0.7198,0.835
a18a3aae2c9c8f5dc7531be32de45216,0.002239,0.0024864,0.9004,0.0000,0.0045,0.7223,0.003
23867a7b49996a7c044727dd8a69b6fa,0.002238,0.0038323,0.5839,0.0045,0.0000,0.7248,0.791
6f7faaed7bde192c4033da463fe3432b,0.00223,0.0026872,0.83,0.0045,0.0000,0.72729,0.457
7898d61143c7a5628cdbfdd1754a6079,0.002182,0.0051108,0.4269,0.0044,0.0002,0.72972,0.729
f2026b837338f6b2dfcada80d324a084,0.00215,0.0087773,0.245,0.0043,0.0000,0.73212,1
67c95815713c23f995230e0604d429af,0.002088,0.0064192,0.3252,0.0042,0.0000,0.73446,0.689
dad39314e553edccd7534b8ae07b2361,0.002023,0.0045516,0.4444,0.0040,0.0000,0.73671,0.488
2036186271f8ba42baee03a9bee36dc1,0.002021,0.002724,0.7419,0.0040,0.0000,0.73897,0.67
08820f5810b56d9bea8ff99747ab22f8,0.002016,0.0061161,0.3296,0.0040,0.0000,0.74122,0.824
6177eab3462de664fd4693bba5ffc1e4,0.001998,0.0025729,0.7767,0.0040,0.0000,0.74345,0.547
eb267f9ffafdc33eea4aca364058347b,0.001966,0.0056237,0.3496,0.0039,0.0000,0.74565,0.824
83b46ffa32515c039e8239a285671fea,0.001918,0.0045734,0.4193,0.0038,0.0000,0.74779,0.947
9f1ce6a8f4782764f4c1d518d74d1de9,0.001865,0.0025476,0.732,0.0013,0.0035,0.74987,0.089
00401a5c547242438f659a5c92a8033d,0.001832,0.0020492,0.8941,0.0037,0.0000,0.75192,0.578
6f766d549d69dc9bc19ad7b465843b16,0.001813,0.0026506,0.684,0.0036,0.0000,0.75394,0.703
e64e0eec9581396de64d5cef915e0ce2,0.00179,0.0077428,0.2311,0.0036,0.0000,0.75594,1
3c26e4431b80e5d9c91a914d3cdc7fb7,0.001779,0.0021462,0.8287,0.0036,0.0000,0.75793,0.575
ce131efaaeaa39517b02c43cb06d6190,0.001756,0.0028514,0.616,0.0000,0.0035,0.75989,0.001
d982be5d88057c9d9a2c7eb4351f8725,0.001678,0.0020196,0.8309,0.0000,0.0034,0.76176,0.003
0f9ee7230f18aa187228fc9ede4ad5d9,0.001677,0.0020858,0.8041,0.0034,0.0000,0.76364,0.709
c27b865190b4d2ac1bb1b9eb84488472,0.001663,0.0016459,1.0103,0.0000,0.0033,0.76549,0.001
d50411bafa963252e05092494dad0437,0.001597,0.0018469,0.8649,0.0000,0.0032,0.76728,0.001
7c86dd90e06b4f18b0f6355be411896f,0.001583,0.002495,0.6345,0.0032,0.0000,0.76904,0.895
c32ae2bd5c495edc188593b40dfeeae6,0.001526,0.0036266,0.4208,0.0000,0.0031,0.77075,0.077
0e580d5d7c51219165e3ecedcc3a9c6e,0.001521,0.0026467,0.5747,0.0031,0.0004,0.77245,0.989
6e71cd1e15708e423bec585dfab8c6b3,0.001521,0.0031735,0.4793,0.0030,0.0000,0.77414,0.822
4e32716b16ef4d3893c19a5cfb0f286f,0.001504,0.0056304,0.2671,0.0030,0.0000,0.77582,1
47fcb76ca29a08c811d0eed7adffe7f0,0.001501,0.00227,0.6615,0.0030,0.0000,0.7775,0.891
50c7368036a3e5da30d70f9c3d432e7a,0.001494,0.002607,0.5732,0.0030,0.0000,0.77917,0.89
b603fef0f729189f188d9f297f7ab202,0.001469,0.0030027,0.4892,0.0029,0.0000,0.78081,0.798
85feda73cf45ba235f7adafc232dff67,0.001417,0.0010674,1.3272,0.0009,0.0032,0.78239,0.016
97b4d0784fc1d8b54f9dc4f29a1b79d6,0.001414,0.0031231,0.4527,0.0028,0.0000,0.78397,0.905
0a6a5105f576c7b433af5d248647a162,0.001381,0.0034351,0.4019,0.0028,0.0000,0.78551,0.782
d6184a27152f6ec4d44748ca0181366f,0.001371,0.0031048,0.4416,0.0027,0.0000,0.78704,0.934
fca36336023f2f0c3b4192c71825a797,0.001342,0.003375,0.3977,0.0027,0.0000,0.78854,1
dc8a27d3628bd0f7ea10d0f820db0d87,0.001309,0.000898,1.4575,0.0009,0.0029,0.79,0.027
e5d6f44033a9177d545940441f9272bf,0.001309,0.0013605,0.9619,0.0000,0.0026,0.79146,0.001
453a04affb33d510945c9bdda02c073f,0.001305,0.0024981,0.5223,0.0026,0.0000,0.79292,0.873
898bab711230a86b7f8cf3dd1da19505,0.001304,0.0032635,0.3995,0.0026,0.0000,0.79438,0.874
