Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
de64bf9fc57519eb73e7ede2e89fbc08,0.0470193,0.0991126,0.4744,0.004,0.096,0.05503,0.001,
6cbb4ad4bea065572ee15c90299997ed,0.0361571,0.0516558,0.7,0.039,0.061,0.09735,0.051,0.04232
b78a0754100e227efd07a3246121fd94,0.0303259,0.086826,0.3493,0.001,0.061,0.13284,0.001,0.03549
72b5e7b223e0904d6dd5bfea86bdae1c,0.0277714,0.0525084,0.5289,0.004,0.057,0.16535,0.001,0.03251
f68daaca652da726aaabf841a3a3a4ba,0.0244526,0.0505462,0.4838,0.036,0.020,0.19397,0.001,0.02862
5c2b47983d92cc3cc09bc005906b2212,0.0218522,0.0189904,1.1507,0.046,0.012,0.21954,0.001,0.02557
74f8324925049e692ded7c8f8131a7de,0.0207219,0.0241961,0.8564,0.037,0.015,0.24379,0.053,
cb493cf3102179d939b8a47f700a786f,0.0191794,0.020641,0.9292,0.035,0.014,0.26624,0.018,
91d688c973fa105eac82ae34536569bc,0.0188159,0.025011,0.7523,0.039,0.005,0.28826,0.001,
c2556d10d86d2961efe7110b18d380c7,0.0176627,0.0155373,1.1368,0.040,0.006,0.30894,0.001,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0173947,0.0299294,0.5812,0.036,0.009,0.32929,0.005,
2ae0f52560c00c969f820ae6b6fb115f,0.0164659,0.0349389,0.4713,0.006,0.030,0.34857,0.002,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0161057,0.0250975,0.6417,0.030,0.010,0.36742,0.006,
6731bc05c8ba7ada6bf032d14af05613,0.015231,0.0529442,0.2877,0.001,0.031,0.38524,0.001,
2d9c0927c41fe00977c4cc751b5c52b4,0.014217,0.0133825,1.0624,0.026,0.026,0.40188,0.49,
460704bd2880b6e0c87caa2070b20097,0.0139829,0.0122736,1.1393,0.031,0.012,0.41825,0.002,
5c1a02107d6f21edc9e94690ac5a721c,0.0136596,0.0274482,0.4977,0.014,0.018,0.43423,0.235,
522fccaf4e20abef717533bd224bd68d,0.0118234,0.0303394,0.3897,0.005,0.021,0.44807,0.01,
f6334d26ed150d46dab2e4dbb7dcde62,0.011551,0.0125961,0.917,0.020,0.014,0.46159,0.013,
a50e46127e32d57c3f21c21f1d4a7297,0.0112612,0.0287137,0.3922,0.009,0.018,0.47477,0.02,
e6e36c7acbdc33af814292da08b44b99,0.0110559,0.0225417,0.4905,0.017,0.008,0.48771,0.324,
dc83596d4d0bd0e144aead7a53486fcd,0.0104012,0.0117743,0.8834,0.019,0.008,0.49989,0.034,
5a5cd60c401650043551c33f344c8522,0.0103565,0.0121757,0.8506,0.023,0.003,0.51201,0.001,
bbc60ed04bef5a4b294bec429e7c7ec3,0.0100537,0.0521346,0.1928,0.000,0.020,0.52377,0.001,
e36bdf6700966998f0c6929b13db80ab,0.0098294,0.0104664,0.9391,0.017,0.012,0.53528,0.106,
e65fd9bdecd6971a6df6257338244e89,0.0092546,0.008049,1.1498,0.019,0.007,0.54611,0.001,
5d95084e371b3b95f082aac9ecf80db1,0.0089649,0.0371543,0.2413,0.001,0.018,0.5566,0.002,
787a3df59922afc90301151ea01b7c7b,0.0086815,0.019556,0.4439,0.016,0.004,0.56676,0.646,
3b617940a8ae4d46db58d0a83793f0e8,0.0085414,0.0275075,0.3105,0.012,0.005,0.57676,0.668,
fe81b53d077a7fa4f3813377bd51caf4,0.0083713,0.0179271,0.467,0.001,0.016,0.58656,0.001,
71d02c5aa4d978c87190eca2004dce60,0.0081846,0.0305599,0.2678,0.012,0.005,0.59614,0.688,
bc17a57fdb7451088e326bb258fe96cd,0.0065546,0.012772,0.5132,0.011,0.004,0.60381,0.561,
3e419195da70fbb707bf9446d00d2b93,0.0060319,0.007636,0.7899,0.011,0.006,0.61087,0.032,
dd7386872132054a57c15a92a42c1b0e,0.0059304,0.0128621,0.4611,0.002,0.011,0.61781,0.002,
ebd2450897a18d4158d92b6d6e950b26,0.0056629,0.0104203,0.5434,0.002,0.010,0.62444,0.009,
03aeed40e95531cde1ff374146f1a068,0.00554,0.028841,0.1921,0.000,0.011,0.63092,0.232,
f427cc77a3175ac760d5b1556b65ba17,0.0054411,0.0052578,1.0349,0.010,0.006,0.63729,0.009,
02c9292683676d5a105454964336f5c5,0.0052568,0.0143528,0.3663,0.009,0.002,0.64344,0.627,
a43d008f9f946bca0a7a5c804d664b0f,0.0050526,0.0120391,0.4197,0.003,0.008,0.64935,0.085,
