Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
b78a0754100e227efd07a3246121fd94,0.0390174,0.0978672,0.3987,0.000,0.078,0.08041,0.001,
74f8324925049e692ded7c8f8131a7de,0.0243401,0.0173251,1.4049,0.102,0.076,0.13057,0.021,0.05016
2d9c0927c41fe00977c4cc751b5c52b4,0.0222386,0.0222883,0.9978,0.048,0.073,0.1764,0.001,0.04583
cb493cf3102179d939b8a47f700a786f,0.0193672,0.0138039,1.403,0.086,0.063,0.21631,0.008,0.03991
5c2b47983d92cc3cc09bc005906b2212,0.0181021,0.0134147,1.3494,0.081,0.057,0.25362,0.003,0.03731
d2cd00fc747246ad6362f1c3987f7cdc,0.0175017,0.056511,0.3097,0.000,0.035,0.28969,0.222,
460704bd2880b6e0c87caa2070b20097,0.0139162,0.01002,1.3888,0.061,0.043,0.31837,0.004,
6cbb4ad4bea065572ee15c90299997ed,0.0108887,0.0163498,0.666,0.037,0.042,0.34081,0.296,
f68daaca652da726aaabf841a3a3a4ba,0.0101713,0.0094652,1.0746,0.022,0.002,0.36177,0.001,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0099423,0.0176395,0.5636,0.003,0.022,0.38226,0.002,
bc17a57fdb7451088e326bb258fe96cd,0.0096605,0.0137807,0.701,0.022,0.007,0.40217,0.029,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0094099,0.010047,0.9366,0.028,0.012,0.42156,0.004,
e65fd9bdecd6971a6df6257338244e89,0.0093248,0.0068535,1.3606,0.041,0.030,0.44077,0.025,
57b76aadd6cd9eb434c84c4f8ea4265f,0.0088027,0.0129674,0.6788,0.018,0.001,0.45892,0.001,
dd7386872132054a57c15a92a42c1b0e,0.0086162,0.0198961,0.4331,0.000,0.017,0.47667,0.001,
5ca73d1ce0a4b8e42d36f3d0088dc937,0.0081611,0.0270156,0.3021,0.000,0.016,0.49349,0.005,
e36bdf6700966998f0c6929b13db80ab,0.0080719,0.0060188,1.3411,0.036,0.027,0.51013,0.009,
2ae0f52560c00c969f820ae6b6fb115f,0.0077862,0.012507,0.6225,0.004,0.014,0.52617,0.086,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0077515,0.0054942,1.4109,0.029,0.015,0.54215,0.001,
5c1a02107d6f21edc9e94690ac5a721c,0.0072128,0.010697,0.6743,0.014,0.009,0.55701,0.389,
f6334d26ed150d46dab2e4dbb7dcde62,0.0071483,0.0062111,1.1509,0.033,0.022,0.57174,0.009,
fe81b53d077a7fa4f3813377bd51caf4,0.0069462,0.0150894,0.4603,0.000,0.014,0.58606,0.001,
c2556d10d86d2961efe7110b18d380c7,0.0063489,0.00485,1.3091,0.024,0.013,0.59914,0.001,
b95192f739d4edba244aa50a65ad657d,0.0057411,0.0051563,1.1134,0.021,0.018,0.61097,0.013,
e584c028a96c064102997c56b053955d,0.0052405,0.0143721,0.3646,0.010,0.001,0.62177,0.192,
