Contrast: Hatched Egg_Unhatched Egg,,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
b78a0754100e227efd07a3246121fd94,0.0455079,0.1090074,0.4175,0.001,0.091,0.05627,0.001,,0.05627,,,,
de64bf9fc57519eb73e7ede2e89fbc08,0.032611,0.0671496,0.4856,0.004,0.067,0.09659,0.001,,0.04032,,,,
f68daaca652da726aaabf841a3a3a4ba,0.0300929,0.0618749,0.4864,0.041,0.028,0.1338,0.001,,0.03721,,,,
6cbb4ad4bea065572ee15c90299997ed,0.0297187,0.0485709,0.6119,0.030,0.059,0.17055,0.076,,0.03675,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0288169,0.0570027,0.5055,0.005,0.059,0.20618,0.001,,0.03563,,,,
74f8324925049e692ded7c8f8131a7de,0.0273256,0.0231465,1.1806,0.055,0.022,0.23996,0.009,,,,,,
5c2b47983d92cc3cc09bc005906b2212,0.0234886,0.0168921,1.3905,0.052,0.017,0.26901,0.001,,,,,,
cb493cf3102179d939b8a47f700a786f,0.0227018,0.0186427,1.2177,0.047,0.020,0.29708,0.011,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0194419,0.0363202,0.5353,0.042,0.009,0.32112,0.001,,,,,,
91d688c973fa105eac82ae34536569bc,0.0171248,0.0233407,0.7337,0.036,0.006,0.34229,0.001,,,,,,
460704bd2880b6e0c87caa2070b20097,0.016781,0.0117769,1.4249,0.040,0.015,0.36304,0.001,,,,,,
c2556d10d86d2961efe7110b18d380c7,0.016202,0.0141963,1.1413,0.038,0.008,0.38307,0.001,,,,,,
2ae0f52560c00c969f820ae6b6fb115f,0.0155644,0.0359512,0.4329,0.006,0.027,0.40232,0.114,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,0.0142884,0.0328501,0.435,0.016,0.017,0.41999,0.626,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0142461,0.0104536,1.3628,0.032,0.030,0.4376,0.346,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.013246,0.0126371,1.0482,0.028,0.010,0.45398,0.001,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,0.0131759,0.0123946,1.063,0.025,0.017,0.47027,0.012,,,,,,
dc83596d4d0bd0e144aead7a53486fcd,0.0125956,0.0135295,0.931,0.024,0.009,0.48584,0.02,,,,,,
e65fd9bdecd6971a6df6257338244e89,0.0109442,0.007853,1.3936,0.025,0.009,0.49938,0.001,,,,,,
e36bdf6700966998f0c6929b13db80ab,0.0107518,0.0087332,1.2311,0.023,0.011,0.51267,0.018,,,,,,
6731bc05c8ba7ada6bf032d14af05613,0.0102598,0.0392495,0.2614,0.001,0.021,0.52536,0.001,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,0.0098506,0.0300844,0.3274,0.007,0.017,0.53754,0.079,,,,,,
787a3df59922afc90301151ea01b7c7b,0.0094033,0.0232658,0.4042,0.018,0.003,0.54916,0.025,,,,,,
664a5696761c2beb24c9a1644748c2f6,0.0086473,0.039472,0.2191,0.000,0.017,0.55986,0.24,,,,,,
5a5cd60c401650043551c33f344c8522,0.0084989,0.0083016,1.0238,0.020,0.003,0.57036,0.001,,,,,,
3b617940a8ae4d46db58d0a83793f0e8,0.0084636,0.0268744,0.3149,0.009,0.009,0.58083,0.373,,,,,,
522fccaf4e20abef717533bd224bd68d,0.0075248,0.0205288,0.3665,0.002,0.014,0.59013,0.193,,,,,,
6cc87325b7815ff69cb113006fa5dfd5,0.0072143,0.0145213,0.4968,0.014,0.002,0.59905,0.005,,,,,,
f427cc77a3175ac760d5b1556b65ba17,0.0067242,0.0052787,1.2738,0.015,0.007,0.60737,0.004,,,,,,
c39e740778882bfb46217540ed1dcc86,0.0059673,0.0155083,0.3848,0.002,0.010,0.61475,0.24,,,,,,
2e6b346f121a96cb91ce439380bbeafc,0.0059052,0.0276693,0.2134,0.000,0.012,0.62205,0.054,,,,,,
e6e36c7acbdc33af814292da08b44b99,0.0056546,0.0122213,0.4627,0.011,0.001,0.62904,0.002,,,,,,
