Contrast: Hatched Egg_Unhatched Egg,,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
de64bf9fc57519eb73e7ede2e89fbc08,0.0667545,0.1283087,0.5203,0.005,0.135,0.07512,0.001,,,,,,
6cbb4ad4bea065572ee15c90299997ed,0.0427707,0.0545785,0.7837,0.048,0.065,0.12325,0.219,,0.04813,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0263719,0.0455543,0.5789,0.004,0.054,0.15293,0.001,,0.02968,,,,
6731bc05c8ba7ada6bf032d14af05613,0.0220431,0.0668389,0.3298,0.001,0.044,0.17774,0.001,,0.02481,,,,
bbc60ed04bef5a4b294bec429e7c7ec3,0.0212942,0.0787604,0.2704,0.000,0.042,0.2017,0.066,,0.02396,,,,
91d688c973fa105eac82ae34536569bc,0.0206936,0.0268014,0.7721,0.043,0.002,0.22499,0.03,,,,,,
c2556d10d86d2961efe7110b18d380c7,0.0193755,0.0168652,1.1488,0.042,0.004,0.24679,0.001,,,,,,
5c2b47983d92cc3cc09bc005906b2212,0.0193471,0.0208045,0.9299,0.039,0.004,0.26856,0.008,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0187707,0.0341932,0.549,0.033,0.009,0.28968,0.582,,,,,,
2ae0f52560c00c969f820ae6b6fb115f,0.0178257,0.033574,0.5309,0.005,0.034,0.30974,0.02,,,,,,
522fccaf4e20abef717533bd224bd68d,0.0172287,0.0392817,0.4386,0.007,0.032,0.32913,0.048,,,,,,
e6e36c7acbdc33af814292da08b44b99,0.0172079,0.0291607,0.5901,0.023,0.017,0.3485,0.561,,,,,,
71d02c5aa4d978c87190eca2004dce60,0.0170878,0.0424728,0.4023,0.025,0.012,0.36773,0.665,,,,,,
f68daaca652da726aaabf841a3a3a4ba,0.0168329,0.025018,0.6728,0.029,0.008,0.38667,0.163,,,,,,
5d95084e371b3b95f082aac9ecf80db1,0.015419,0.0552314,0.2792,0.001,0.030,0.40402,0.042,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0150564,0.0207114,0.727,0.029,0.008,0.42096,0.418,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,0.0129929,0.019112,0.6798,0.011,0.020,0.43559,0.127,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,0.0129388,0.0265998,0.4864,0.012,0.019,0.45015,0.111,,,,,,
fe81b53d077a7fa4f3813377bd51caf4,0.0127317,0.0222927,0.5711,0.002,0.025,0.46447,0.001,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0127251,0.0163004,0.7807,0.020,0.020,0.47879,0.753,,,,,,
cb493cf3102179d939b8a47f700a786f,0.012542,0.021614,0.5803,0.023,0.004,0.49291,0.619,,,,,,
5a5cd60c401650043551c33f344c8522,0.0123661,0.0151849,0.8144,0.027,0.003,0.50682,0.003,,,,,,
460704bd2880b6e0c87caa2070b20097,0.0100234,0.0113183,0.8856,0.020,0.007,0.5181,0.064,,,,,,
74f8324925049e692ded7c8f8131a7de,0.009906,0.021261,0.4659,0.016,0.005,0.52925,0.771,,,,,,
02c9292683676d5a105454964336f5c5,0.0097735,0.0194164,0.5034,0.018,0.004,0.54025,0.633,,,,,,
b78a0754100e227efd07a3246121fd94,0.0095182,0.0289259,0.3291,0.001,0.019,0.55096,0.001,,,,,,
dd7386872132054a57c15a92a42c1b0e,0.0093246,0.0171831,0.5427,0.003,0.018,0.56145,0.007,,,,,,
ebd2450897a18d4158d92b6d6e950b26,0.0091077,0.0130196,0.6995,0.004,0.017,0.5717,0.013,,,,,,
e36bdf6700966998f0c6929b13db80ab,0.0088654,0.0127268,0.6966,0.010,0.013,0.58168,0.372,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,0.0086823,0.0120795,0.7188,0.014,0.008,0.59145,0.373,,,,,,
