Contrast:,Hillsboro_Fort,Lauderdale,,,,,,,
,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,
74f8324925049e692ded7c8f8131a7de,0.0283417,0.0252385,1.123,0.016,0.055,0.03959,0.003,,
6cbb4ad4bea065572ee15c90299997ed,0.025735,0.0345728,0.7444,0.048,0.03,0.07554,0.018,,0.03595
91d688c973fa105eac82ae34536569bc,0.024901,0.0264802,0.9404,0.043,0.036,0.11032,0.429,,0.03478
cb493cf3102179d939b8a47f700a786f,0.0246454,0.020986,1.1744,0.023,0.047,0.14474,0.026,,0.03442
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0235261,0.0365375,0.6439,0.029,0.042,0.1776,0.624,,0.03286
5c2b47983d92cc3cc09bc005906b2212,0.0233098,0.0171223,1.3614,0.039,0.052,0.21016,0.065,,
f68daaca652da726aaabf841a3a3a4ba,0.0219289,0.0212152,1.0336,0.029,0.041,0.24079,0.079,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0207947,0.028732,0.7237,0.033,0.028,0.26984,0.037,,
460704bd2880b6e0c87caa2070b20097,0.016378,0.0113509,1.4429,0.02,0.04,0.29272,0.003,,
c2556d10d86d2961efe7110b18d380c7,0.0160248,0.0153868,1.0415,0.042,0.038,0.3151,0.252,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0145223,0.0123011,1.1806,0.02,0.032,0.33539,0.013,,
e6e36c7acbdc33af814292da08b44b99,0.0142668,0.0215044,0.6634,0.023,0.011,0.35531,0.115,,
787a3df59922afc90301151ea01b7c7b,0.0132896,0.0248173,0.5355,0.014,0.018,0.37388,0.91,,
dc83596d4d0bd0e144aead7a53486fcd,0.0128136,0.0124341,1.0305,0.014,0.024,0.39178,0.349,,
71d02c5aa4d978c87190eca2004dce60,0.0123839,0.0378471,0.3272,0.025,0,0.40907,0.001,,
5a5cd60c401650043551c33f344c8522,0.0119391,0.0131409,0.9085,0.027,0.02,0.42575,0.063,,
3b617940a8ae4d46db58d0a83793f0e8,0.0116551,0.0292628,0.3983,0.016,0.009,0.44203,0.287,,
f6334d26ed150d46dab2e4dbb7dcde62,0.0115545,0.0108951,1.0605,0.014,0.025,0.45817,0.012,,
5c1a02107d6f21edc9e94690ac5a721c,0.0112957,0.0243215,0.4644,0.011,0.016,0.47395,0.641,,
e36bdf6700966998f0c6929b13db80ab,0.0106512,0.0087343,1.2195,0.01,0.023,0.48883,0.028,,
e65fd9bdecd6971a6df6257338244e89,0.0101752,0.0073163,1.3908,0.013,0.025,0.50304,0.007,,
bc17a57fdb7451088e326bb258fe96cd,0.0092424,0.0158677,0.5825,0.016,0.007,0.51595,0.079,,
02c9292683676d5a105454964336f5c5,0.0089031,0.0192889,0.4616,0.018,0.001,0.52838,0.002,,
3df21f1a76bbc0b6441d81b9c20d5436,0.0076702,0.0117733,0.6515,0.012,0.006,0.5391,0.079,,
6cc87325b7815ff69cb113006fa5dfd5,0.0073512,0.0145898,0.5039,0.002,0.014,0.54937,0.092,,
71cd8596df4c7dd9ad798c07c7800f87,0.0070999,0.0091935,0.7723,0.015,0.005,0.55928,0.001,,
3e419195da70fbb707bf9446d00d2b93,0.0069178,0.007466,0.9266,0.014,0.008,0.56895,0.051,,
ac6639741476abec934aac289e8e7564,0.0068427,0.0092026,0.7436,0.011,0.007,0.5785,0.278,,
fa73781222ed3d0cecfdd7d5a9c64c50,0.0064381,0.0076832,0.8379,0.009,0.008,0.5875,0.485,,
f427cc77a3175ac760d5b1556b65ba17,0.0063803,0.0047029,1.3567,0.006,0.015,0.59641,0.001,,
c94a7d7e3f2dce0b4d4c4f6f849eb878,0.0062525,0.0117501,0.5321,0.011,0.003,0.60514,0.051,,
a50e46127e32d57c3f21c21f1d4a7297,0.0058053,0.0079413,0.731,0.012,0.007,0.61325,0.168,,
b95192f739d4edba244aa50a65ad657d,0.0055883,0.0048586,1.1502,0.003,0.011,0.62106,0.006,,
f66cfb35942df465eef4c123275766fc,0.0054753,0.0097201,0.5633,0.008,0.005,0.62871,0.276,,
61d1a23dc17dfa7ed4b837b043abf54d,0.0050842,0.0136087,0.3736,0.003,0.008,0.63581,0.917,,
57b76aadd6cd9eb434c84c4f8ea4265f,0.0050089,0.0136596,0.3667,0.01,0,0.6428,0.021,,
305fad7794af19b61bd043d53cde28ec,0.0049768,0.0043618,1.141,0.002,0.01,0.64976,0.002,,
d1bf9c378fd51fc97553c2ef96454fa0,0.0049658,0.0045773,1.0849,0.002,0.01,0.65669,0.002,,
94a4cfe2e93c0e96a8c4a484650b6dfd,0.0049188,0.0063308,0.777,0.008,0.006,0.66356,0.415,,
2ae0f52560c00c969f820ae6b6fb115f,0.0048913,0.0108838,0.4494,0.005,0.006,0.67039,0.736,,
7685cb95fa77d91b70afb46485ac20a6,0.0048868,0.0083772,0.5833,0.009,0.003,0.67722,0.04,,
b89294ba58e3a73fc19e560bc01665bd,0.0044945,0.0099368,0.4523,0.009,0.001,0.6835,0.016,,
bdafcd6a04c4a4b48d6ed4003175ba11,0.0040733,0.0101548,0.4011,0.003,0.006,0.68919,0.878,,
433ffe3e8472a48735636d27a91aa287,0.00402,0.008663,0.464,0.004,0.005,0.6948,0.705,,
522fccaf4e20abef717533bd224bd68d,0.003854,0.0050997,0.7557,0.007,0.002,0.70019,0.017,,
9f961d0b7eadbbc47c9e1fc80a391778,0.0036212,0.004197,0.8628,0.007,0.004,0.70524,0.074,,
8aca4a6dbf73163d249df1b1a6d544b8,0.0035271,0.0076582,0.4606,0.005,0.003,0.71017,0.193,,
b0475c2d42ad84a03f80d70d9abfc717,0.0034216,0.0058714,0.5828,0.004,0.004,0.71495,0.719,,
6bd60643c27bb01d3c586791409c405a,0.0031581,0.0056136,0.5626,0.006,0.002,0.71936,0.022,,
aec7654d709c1b1fb41185801f97bf7a,0.0030696,0.009227,0.3327,0.006,0,0.72365,0.001,,
942d4f79ab6da48e55cc43660fbe0888,0.0030469,0.0083094,0.3667,0.003,0.004,0.72791,0.698,,
72fe0ee9b7d7514b96a0c6354c477740,0.0030138,0.0028825,1.0455,0.007,0.006,0.73212,0.058,,
a43d008f9f946bca0a7a5c804d664b0f,0.0028809,0.0044456,0.648,0.005,0.002,0.73614,0.074,,
35ba0ce07309312135a5e61c896e5c8a,0.0027083,0.0023568,1.1492,0.002,0.005,0.73992,0.006,,
