Contrast:,CC_CM,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
74f8324925049e692ded7c8f8131a7de,0.0380005,0.0202316,1.8783,0.037,0.102,0.06342,0.001,
cb493cf3102179d939b8a47f700a786f,0.0302943,0.0172958,1.7515,0.035,0.086,0.11398,0.001,0.05056
5c2b47983d92cc3cc09bc005906b2212,0.0232705,0.0153282,1.5182,0.046,0.081,0.15282,0.095,0.03884
460704bd2880b6e0c87caa2070b20097,0.0181945,0.0107344,1.695,0.031,0.061,0.18319,0.001,0.03037
91d688c973fa105eac82ae34536569bc,0.018028,0.0235224,0.7664,0.039,0.013,0.21328,0.998,0.03009
6cbb4ad4bea065572ee15c90299997ed,0.0178795,0.0244534,0.7312,0.039,0.037,0.24312,0.922,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0176971,0.027741,0.6379,0.036,0.028,0.27265,0.9,
f68daaca652da726aaabf841a3a3a4ba,0.0164732,0.0177672,0.9272,0.036,0.022,0.30015,0.998,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0147821,0.0202168,0.7312,0.03,0.029,0.32482,0.937,
2d9c0927c41fe00977c4cc751b5c52b4,0.0146845,0.0093159,1.5763,0.026,0.048,0.34933,0.124,
e65fd9bdecd6971a6df6257338244e89,0.0123844,0.0073605,1.6826,0.019,0.041,0.36999,0.001,
bc17a57fdb7451088e326bb258fe96cd,0.0122889,0.015866,0.7745,0.011,0.022,0.3905,0.109,
e36bdf6700966998f0c6929b13db80ab,0.0122127,0.0070651,1.7286,0.017,0.036,0.41089,0.001,
c2556d10d86d2961efe7110b18d380c7,0.0117428,0.013604,0.8632,0.04,0.024,0.43049,0.99,
f6334d26ed150d46dab2e4dbb7dcde62,0.010973,0.0080121,1.3696,0.02,0.033,0.4488,0.301,
5c1a02107d6f21edc9e94690ac5a721c,0.0104953,0.0195029,0.5381,0.014,0.014,0.46632,0.457,
57b76aadd6cd9eb434c84c4f8ea4265f,0.0102143,0.0143231,0.7131,0.005,0.018,0.48336,0.015,
dc83596d4d0bd0e144aead7a53486fcd,0.0093755,0.0114064,0.822,0.019,0.005,0.49901,0.997,
e6e36c7acbdc33af814292da08b44b99,0.0089463,0.0169981,0.5263,0.017,0.004,0.51394,0.96,
5a5cd60c401650043551c33f344c8522,0.0079627,0.0107636,0.7398,0.023,0.014,0.52723,1,
787a3df59922afc90301151ea01b7c7b,0.0079136,0.0199815,0.396,0.016,0.001,0.54044,0.996,
b95192f739d4edba244aa50a65ad657d,0.0074644,0.0041386,1.8036,0.008,0.021,0.5529,0.001,
d1bf9c378fd51fc97553c2ef96454fa0,0.0067928,0.0035191,1.9303,0.006,0.018,0.56423,0.001,
305fad7794af19b61bd043d53cde28ec,0.0065875,0.0034297,1.9207,0.006,0.018,0.57523,0.001,
71d02c5aa4d978c87190eca2004dce60,0.0064965,0.0266129,0.2441,0.012,0.002,0.58607,0.844,
f427cc77a3175ac760d5b1556b65ba17,0.0064805,0.0037427,1.7315,0.01,0.02,0.59689,0.001,
3b617940a8ae4d46db58d0a83793f0e8,0.0062014,0.0218691,0.2836,0.012,0,0.60724,0.991,
3e419195da70fbb707bf9446d00d2b93,0.0051363,0.0060796,0.8448,0.011,0.007,0.61581,0.964,
433ffe3e8472a48735636d27a91aa287,0.0050425,0.0064398,0.783,0.004,0.008,0.62423,0.188,
3df21f1a76bbc0b6441d81b9c20d5436,0.004957,0.009028,0.5491,0.009,0.003,0.6325,0.955,
e584c028a96c064102997c56b053955d,0.004902,0.0145887,0.336,0,0.01,0.64068,0.001,
02c9292683676d5a105454964336f5c5,0.0048955,0.0138422,0.3537,0.009,0.002,0.64885,0.937,
61d1a23dc17dfa7ed4b837b043abf54d,0.0045306,0.0102412,0.4424,0.006,0.005,0.65641,0.475,
71cd8596df4c7dd9ad798c07c7800f87,0.0043824,0.0075449,0.5808,0.01,0.002,0.66373,0.973,
ac6639741476abec934aac289e8e7564,0.0042869,0.007731,0.5545,0.009,0.002,0.67088,1,
fa73781222ed3d0cecfdd7d5a9c64c50,0.0042404,0.0068031,0.6233,0.008,0.001,0.67796,1,
6cc87325b7815ff69cb113006fa5dfd5,0.0042094,0.0112663,0.3736,0.008,0.001,0.68498,0.995,
2ae0f52560c00c969f820ae6b6fb115f,0.0039521,0.0088988,0.4441,0.006,0.004,0.69158,0.638,
a50e46127e32d57c3f21c21f1d4a7297,0.0038038,0.0065405,0.5816,0.009,0.003,0.69793,0.992,
94a4cfe2e93c0e96a8c4a484650b6dfd,0.0037083,0.0051569,0.7191,0.007,0.004,0.70412,0.922,
c94a7d7e3f2dce0b4d4c4f6f849eb878,0.0035881,0.008906,0.4029,0.007,0.001,0.71011,0.997,
35ba0ce07309312135a5e61c896e5c8a,0.0034223,0.0018164,1.8841,0.004,0.009,0.71582,0.001,
bdafcd6a04c4a4b48d6ed4003175ba11,0.003327,0.0079588,0.418,0.004,0.003,0.72137,0.632,
f66cfb35942df465eef4c123275766fc,0.0030569,0.0078015,0.3918,0.006,0,0.72647,1,
7685cb95fa77d91b70afb46485ac20a6,0.0030535,0.0063976,0.4773,0.006,0.001,0.73157,0.995,
e6abd30db0661d376573a4cd53529d2b,0.0025062,0.0073699,0.3401,0,0.005,0.73575,0.014,
9f961d0b7eadbbc47c9e1fc80a391778,0.0024359,0.003811,0.6392,0.005,0.001,0.73982,0.972,
6bd60643c27bb01d3c586791409c405a,0.0023822,0.0040415,0.5894,0.004,0.004,0.74379,0.689,
b89294ba58e3a73fc19e560bc01665bd,0.0023482,0.0072547,0.3237,0.005,0,0.74771,0.967,
522fccaf4e20abef717533bd224bd68d,0.0023439,0.0042655,0.5495,0.005,0,0.75162,0.971,
e80b7ee7b8da33d2126ee5c1d716faa5,0.0021825,0.0058659,0.3721,0.001,0.003,0.75527,0.24,
d542df649008db286bd71629af2ce256,0.0021714,0.0041176,0.5274,0.001,0.004,0.75889,0.054,
b0475c2d42ad84a03f80d70d9abfc717,0.0021197,0.004707,0.4503,0.004,0.001,0.76243,0.977,
72fe0ee9b7d7514b96a0c6354c477740,0.0020835,0.0024428,0.8529,0.006,0.004,0.7659,1,
942d4f79ab6da48e55cc43660fbe0888,0.0019816,0.0061996,0.3196,0.003,0.001,0.76921,0.763,
8aca4a6dbf73163d249df1b1a6d544b8,0.0018952,0.0059803,0.3169,0.004,0,0.77238,1,
1917ecc6a185cc9f86b3d6edfa1045fa,0.0018448,0.0027638,0.6675,0.004,0.001,0.77545,0.968,
a43d008f9f946bca0a7a5c804d664b0f,0.0017927,0.0035637,0.503,0.003,0.001,0.77845,0.958,
85e78acdf58cb44cf3a48eb68f244438,0.0017868,0.0028755,0.6214,0,0.003,0.78143,0.001,
cf1d17620411b1db17bdf391848911d5,0.0016929,0.0042049,0.4026,0.001,0.002,0.78425,0.316,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0016692,0.0023809,0.7011,0.004,0.003,0.78704,1,
334e1b08a0d169bc507c922d0ae22e75,0.0016345,0.0019096,0.8559,0.006,0.004,0.78977,1,
e714cf26ae84fcc0cad46d5bd7186a39,0.001623,0.0040881,0.397,0.003,0,0.79248,0.996,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0016184,0.0011469,1.4111,0.004,0.006,0.79518,0.624,
3ce1a6014257a94a37b9654e002e7ac7,0.0016092,0.0008566,1.8785,0.002,0.004,0.79786,0.001,
66ea5d31c57c6bc8657f13ced8b9261f,0.00151,0.0029292,0.5155,0.003,0,0.80038,0.988,
baa4ef1d1a13fc40f49ed5be9bae17f2,0.0014928,0.0028547,0.5229,0.003,0.001,0.80287,0.997,
8758879d625c1989b6a1f2ab09ea505f,0.0014813,0.0034419,0.4304,0.003,0.001,0.80535,0.983,
aec7654d709c1b1fb41185801f97bf7a,0.0014689,0.0065453,0.2244,0.003,0,0.8078,0.935,
7989777e7b4a4a1a5e64e05489f0da27,0.0014573,0.0035752,0.4076,0.003,0,0.81023,0.997,
d3c25a17251d966efda9c704331bde28,0.0014564,0.0031874,0.4569,0.002,0.002,0.81266,0.441,
de64bf9fc57519eb73e7ede2e89fbc08,0.0014392,0.0030496,0.4719,0.004,0.001,0.81506,0.856,
ebd2450897a18d4158d92b6d6e950b26,0.0012861,0.0043619,0.2949,0.002,0,0.81721,0.975,
f3b32ae8d911bb4d51354311513f7ab9,0.0012571,0.0047883,0.2625,0.003,0,0.81931,1,
85feda73cf45ba235f7adafc232dff67,0.0012558,0.0010015,1.2539,0.005,0.005,0.8214,0.999,
700f7ae7cd3b3c89de9523dc050adf74,0.0012423,0.0015016,0.8273,0.001,0.002,0.82348,0.214,
6ed2cbded69eb8ff12800f4d189b88c1,0.0012272,0.0030905,0.3971,0.002,0,0.82553,0.998,
