Contrast:,Hillsboro_Fort,Lauderdale,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,%,,,,
74f8324925049e692ded7c8f8131a7de,0.0376241,0.0345102,1.0902,0.000,0.075,0.04407,0.053,,4.41,,,,
cb493cf3102179d939b8a47f700a786f,0.0314907,0.0288933,1.0899,0.000,0.063,0.08095,0.053,,3.69,,,,
5c2b47983d92cc3cc09bc005906b2212,0.027497,0.0251771,1.0921,0.000,0.055,0.11315,0.041,,3.22,,,,
460704bd2880b6e0c87caa2070b20097,0.0219882,0.0201218,1.0928,0.000,0.044,0.1389,0.053,,2.58,,,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0163646,0.014456,1.132,0.001,0.033,0.15807,0.052,,1.92,,,,
e65fd9bdecd6971a6df6257338244e89,0.0137301,0.0126371,1.0865,0.000,0.027,0.17415,0.053,,,,,,
e36bdf6700966998f0c6929b13db80ab,0.0132916,0.0121221,1.0965,0.000,0.027,0.18972,0.047,,,,,,
6cbb4ad4bea065572ee15c90299997ed,0.0107945,0.0085081,1.2687,0.005,0.023,0.20236,0.043,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,0.0096942,0.0085798,1.1299,0.001,0.020,0.21371,0.043,,,,,,
a62a51e3a2eadb103c0068a5f2ff3f3c,0.0083569,0.0054286,1.5394,0.016,0.012,0.2235,0.238,,,,,,
f427cc77a3175ac760d5b1556b65ba17,0.007461,0.0068518,1.0889,0.000,0.015,0.23224,0.053,,,,,,
b95192f739d4edba244aa50a65ad657d,0.0073496,0.0068341,1.0754,0.000,0.015,0.24085,0.053,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0071451,0.0062231,1.1482,0.001,0.014,0.24922,0.04,,,,,,
31739534355ac74cd21dbc6125cbfd0e,0.0070861,0.0058952,1.202,0.016,0.006,0.25752,0.037,,,,,,
305fad7794af19b61bd043d53cde28ec,0.0069562,0.0063907,1.0885,0.000,0.014,0.26566,0.053,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,0.0065337,0.0060105,1.087,0.000,0.013,0.27332,0.053,,,,,,
c2556d10d86d2961efe7110b18d380c7,0.0060472,0.0055236,1.0948,0.000,0.012,0.2804,0.053,,,,,,
dd026354b60cdddc45600d6e21d1ad06,0.0052808,0.0027716,1.9053,0.014,0.004,0.28658,0.002,,,,,,
3d7e76af82b4e3217c5fb4ea8ad5d444,0.0051094,0.0028954,1.7647,0.013,0.007,0.29257,0.067,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0049357,0.004288,1.1511,0.001,0.010,0.29835,0.052,,,,,,
027c917c419e09b5b66c2747642eb31e,0.0047363,0.0040812,1.1605,0.011,0.004,0.30389,0.064,,,,,,
c589cbdd8688b77dc94a210eaab642fe,0.0041449,0.0025638,1.6167,0.011,0.004,0.30875,0.015,,,,,,
71397d31834db03b16bd61f99127825b,0.0040959,0.0029115,1.4068,0.009,0.003,0.31355,0.011,,,,,,
35ba0ce07309312135a5e61c896e5c8a,0.0035908,0.0033194,1.0818,0.000,0.007,0.31775,0.053,,,,,,
73e30b1f1823f15a6c68c6995d652764,0.0035431,0.0026818,1.3212,0.007,0.004,0.3219,0.16,,,,,,
bbb6e6c8975ab0d16bb98dec11037d50,0.0035273,0.0027181,1.2977,0.006,0.006,0.32603,0.396,,,,,,
5a5cd60c401650043551c33f344c8522,0.0035004,0.0029988,1.1673,0.000,0.007,0.33013,0.035,,,,,,
59111ed2b5c7a78036145fe7f4a3170e,0.0033599,0.0025946,1.295,0.008,0.001,0.33407,0.001,,,,,,
ae479b4bbe87136f90617e4b60e0809d,0.0032176,0.0024441,1.3164,0.007,0.004,0.33784,0.178,,,,,,
975bbb15e1bc428ab55545e49cd0ab0a,0.0032073,0.0026439,1.2131,0.007,0.002,0.34159,0.04,,,,,,
36bed99a05ff0973efc3e5562b5d6e28,0.003133,0.0030043,1.0428,0.008,0.003,0.34526,0.042,,,,,,
c3a08566277bd681ab268aace5f8923a,0.0031132,0.0023221,1.3407,0.007,0.003,0.34891,0.091,,,,,,
3ef30ae6190d7ec4ab780864b65062b1,0.0030919,0.0028718,1.0767,0.005,0.004,0.35253,0.328,,,,,,
5c340209bca12d4034a139386615349b,0.0025306,0.0019412,1.3036,0.006,0.001,0.35549,0.01,,,,,,
35285e0b35e2396838a0800172095416,0.0025158,0.0019053,1.3204,0.007,0.003,0.35844,0.04,,,,,,
c031b1c0a6f324233d35167858f8c76e,0.0024741,0.0022354,1.1068,0.005,0.001,0.36134,0.015,,,,,,
5413ad2c5729be14493b49af972cf085,0.0024732,0.0023294,1.0617,0.005,0.001,0.36423,0.001,,,,,,
0cd744d9d979da3dcd5a8bec776edf1e,0.0022788,0.0023397,0.974,0.005,0.001,0.3669,0.01,,,,,,
a074c35e6de0073cfdcd775716eee722,0.0022316,0.0016727,1.3341,0.005,0.002,0.36952,0.026,,,,,,
b16c16970e3ee6ec3c24c49ed9f8cc6a,0.0020896,0.0018914,1.1048,0.003,0.003,0.37196,0.734,,,,,,
bb65155b04a84a8d49da48d4264f6c44,0.0020157,0.0033007,0.6107,0.004,0.000,0.37432,0.003,,,,,,
1550ff2a2b7e8ac38fc9936e68efa6de,0.0019789,0.0021123,0.9368,0.002,0.003,0.37664,0.748,,,,,,
85feda73cf45ba235f7adafc232dff67,0.0019313,0.0017865,1.0811,0.000,0.004,0.3789,0.053,,,,,,
fedccd0258e3038f73925aec236cc253,0.001923,0.0018553,1.0365,0.003,0.003,0.38116,0.511,,,,,,
83d87636f7c1e16711fd986cd885356a,0.0018913,0.0012753,1.483,0.004,0.002,0.38337,0.045,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0018523,0.0017155,1.0798,0.000,0.004,0.38554,0.053,,,,,,
741479682e344564dba3c9f4448deb11,0.001794,0.0013796,1.3004,0.004,0.001,0.38764,0.006,,,,,,
36b8db5beb5e71164b57f68772e5b3c0,0.0017765,0.0013024,1.3641,0.004,0.001,0.38972,0.002,,,,,,
445ee6061fa77267c4fa895b8f3f270b,0.0017223,0.0048608,0.3543,0.003,0.000,0.39174,0.304,,,,,,
1831fd8ea3a8292b26e2c75ef620e335,0.0016999,0.0048325,0.3518,0.003,0.000,0.39373,0.448,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,0.0016666,0.0015355,1.0854,0.000,0.003,0.39568,0.053,,,,,,
86131855ab9d1ae4d518f3b8c4499ce8,0.0015506,0.001627,0.9531,0.003,0.002,0.3975,0.159,,,,,,
e4e29f4e32d5afaac40750035098ff69,0.001512,0.0011332,1.3342,0.004,0.001,0.39927,0.037,,,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0014971,0.0016992,0.8811,0.002,0.002,0.40102,0.087,,,,,,
09000ccbd756ad8d6fbb3b18380667b1,0.0014944,0.0010161,1.4707,0.004,0.001,0.40277,0.01,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,0.0014749,0.0013641,1.0813,0.002,0.003,0.4045,0.033,,,,,,
ad2d7c08a9aef630d6e76cf17e48128e,0.0014699,0.0009651,1.523,0.003,0.003,0.40622,0.359,,,,,,
9a34ece1209d1fde1e9669633fd10e43,0.0014481,0.0017673,0.8194,0.003,0.000,0.40792,0.027,,,,,,
7afb4eaa55c3584021938e207877254a,0.0014386,0.0023156,0.6212,0.003,0.000,0.4096,0.009,,,,,,
c54d53cfb5fc4c67c8df310beac5563a,0.0014311,0.001501,0.9535,0.003,0.000,0.41128,0.019,,,,,,
aef6a4edc1176fcf96f7651578bd6016,0.0014114,0.0012473,1.1316,0.003,0.001,0.41293,0.021,,,,,,
c307fea40bd867ba363a02a65246ce0f,0.0013917,0.0010854,1.2823,0.003,0.001,0.41456,0.017,,,,,,
53350ec4d8726c24b94dcd543361ad72,0.0013713,0.0009741,1.4077,0.003,0.002,0.41617,0.235,,,,,,
704ee699d1ee0b23a038e618fddca551,0.0013465,0.0020731,0.6495,0.001,0.002,0.41775,1,,,,,,
bc48222d182d92d06ff5b528bc3b10b6,0.0013453,0.0038243,0.3518,0.003,0.000,0.41932,0.474,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,0.0013395,0.001233,1.0864,0.000,0.003,0.42089,0.053,,,,,,
a2935c56ba4337f68dfa664c4cf438db,0.0013274,0.0014388,0.9225,0.002,0.002,0.42244,0.438,,,,,,
09cae4b25c1fd85d48766102d271a28e,0.0012417,0.0013022,0.9536,0.003,0.001,0.4239,0.299,,,,,,
