Contrast:,Hillsboro_Fort,Lauderdale,,,,,,,
,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,
de64bf9fc57519eb73e7ede2e89fbc08,0.0834257,0.124247,0.6714,0.135,0.067,0.09584,0.11,,
b78a0754100e227efd07a3246121fd94,0.0501211,0.107405,0.4667,0.019,0.091,0.15342,0.818,,0.05758
6cbb4ad4bea065572ee15c90299997ed,0.0468995,0.061675,0.7604,0.065,0.059,0.2073,0.362,,0.05388
72b5e7b223e0904d6dd5bfea86bdae1c,0.0428021,0.060515,0.7073,0.054,0.059,0.25647,0.653,,0.04917
6731bc05c8ba7ada6bf032d14af05613,0.0293521,0.072819,0.4031,0.044,0.021,0.2902,0.218,,0.03373
2ae0f52560c00c969f820ae6b6fb115f,0.026114,0.043022,0.607,0.034,0.027,0.3202,0.412,,
bbc60ed04bef5a4b294bec429e7c7ec3,0.0226237,0.078157,0.2895,0.042,0.004,0.34619,0.152,,
522fccaf4e20abef717533bd224bd68d,0.0204066,0.042004,0.4858,0.032,0.014,0.36963,0.156,,
5d95084e371b3b95f082aac9ecf80db1,0.0180864,0.054597,0.3313,0.030,0.008,0.39041,0.215,,
f68daaca652da726aaabf841a3a3a4ba,0.0172607,0.066308,0.2603,0.008,0.028,0.41024,0.626,,
a50e46127e32d57c3f21c21f1d4a7297,0.0160374,0.038638,0.4151,0.019,0.017,0.42866,0.455,,
5c1a02107d6f21edc9e94690ac5a721c,0.0158542,0.028944,0.5477,0.020,0.017,0.44688,0.467,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0149767,0.014627,1.0239,0.020,0.030,0.46408,0.355,,
fe81b53d077a7fa4f3813377bd51caf4,0.0148215,0.023047,0.6431,0.025,0.010,0.48111,0.06,,
74f8324925049e692ded7c8f8131a7de,0.0126639,0.019665,0.644,0.005,0.022,0.49566,0.412,,
cb493cf3102179d939b8a47f700a786f,0.0112695,0.016171,0.6969,0.004,0.020,0.50861,0.398,,
03aeed40e95531cde1ff374146f1a068,0.0109224,0.039989,0.2731,0.013,0.009,0.52115,0.436,,
dd7386872132054a57c15a92a42c1b0e,0.0104633,0.01722,0.6076,0.018,0.006,0.53317,0.067,,
f6334d26ed150d46dab2e4dbb7dcde62,0.0102609,0.014755,0.6954,0.008,0.017,0.54496,0.697,,
5c2b47983d92cc3cc09bc005906b2212,0.0094702,0.014202,0.6668,0.004,0.017,0.55584,0.435,,
ebd2450897a18d4158d92b6d6e950b26,0.0093302,0.012934,0.7214,0.017,0.005,0.56656,0.027,,
e36bdf6700966998f0c6929b13db80ab,0.0091773,0.012792,0.7174,0.013,0.011,0.5771,0.282,,
e6e36c7acbdc33af814292da08b44b99,0.0087723,0.025477,0.3443,0.017,0.001,0.58718,0.004,,
664a5696761c2beb24c9a1644748c2f6,0.0086485,0.039478,0.2191,0.000,0.017,0.59712,0.875,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.0081259,0.017761,0.4575,0.009,0.010,0.60645,0.331,,
460704bd2880b6e0c87caa2070b20097,0.0081038,0.010057,0.8058,0.007,0.015,0.61576,0.413,,
a43d008f9f946bca0a7a5c804d664b0f,0.0078568,0.016934,0.464,0.013,0.004,0.62479,0.121,,
081f42427bf6cf3bb2471f4efec3520e,0.0077935,0.014274,0.546,0.012,0.007,0.63374,0.182,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.0064009,0.008829,0.725,0.008,0.009,0.6411,0.275,,
dc83596d4d0bd0e144aead7a53486fcd,0.0062031,0.008742,0.7096,0.007,0.009,0.64822,0.826,,
7898d61143c7a5628cdbfdd1754a6079,0.0061562,0.018172,0.3388,0.006,0.007,0.65529,0.471,,
230cf8978871a250f5f7ae8a91aadf94,0.0060413,0.028478,0.2121,0.002,0.011,0.66223,0.516,,
71d02c5aa4d978c87190eca2004dce60,0.0059278,0.024868,0.2384,0.012,0.000,0.66904,0.011,,
2e6b346f121a96cb91ce439380bbeafc,0.0059278,0.027663,0.2143,0.000,0.012,0.67585,0.91,,
e65fd9bdecd6971a6df6257338244e89,0.0052881,0.007539,0.7015,0.003,0.009,0.68193,0.381,,
336d367de8fd84bc93b4f8f23dc9dde2,0.0052801,0.014685,0.3595,0.010,0.001,0.688,0.043,,
d3dc1bb6adf5f414ef01e2f6a97ae0cc,0.0052598,0.015654,0.336,0.004,0.007,0.69404,0.606,,
c39e740778882bfb46217540ed1dcc86,0.005092,0.015714,0.324,0.000,0.010,0.69989,0.956,,
9f961d0b7eadbbc47c9e1fc80a391778,0.0049715,0.00892,0.5573,0.004,0.008,0.7056,0.934,,
3e419195da70fbb707bf9446d00d2b93,0.0049531,0.008337,0.5941,0.009,0.004,0.71129,0.063,,
610a48e1e2e6635df613b88712801f10,0.0049505,0.012009,0.4122,0.008,0.003,0.71698,0.222,,
f66cfb35942df465eef4c123275766fc,0.004863,0.012525,0.3883,0.010,0.000,0.72256,0.025,,
5ca73d1ce0a4b8e42d36f3d0088dc937,0.0047536,0.010186,0.4667,0.008,0.003,0.72802,0.131,,
d3c25a17251d966efda9c704331bde28,0.004638,0.022923,0.2023,0.001,0.008,0.73335,0.479,,
3b617940a8ae4d46db58d0a83793f0e8,0.0046118,0.023942,0.1926,0.001,0.009,0.73865,0.595,,
5511e72b743af21ea2dc91d537bb4dfb,0.0044999,0.019232,0.234,0.008,0.001,0.74382,0.377,,
c2556d10d86d2961efe7110b18d380c7,0.0044702,0.006509,0.6868,0.004,0.008,0.74896,0.611,,
f427cc77a3175ac760d5b1556b65ba17,0.0041277,0.005571,0.7409,0.003,0.007,0.7537,0.595,,
79f458b5176b6d4795e229c416de7a95,0.0041135,0.00978,0.4206,0.007,0.002,0.75842,0.137,,
4f283e94aab2450ece1c0cdadcccdf8d,0.0039464,0.015704,0.2513,0.002,0.006,0.76296,0.66,,
b95192f739d4edba244aa50a65ad657d,0.0037763,0.005825,0.6483,0.004,0.005,0.7673,0.284,,
f7135fcd9d3004d495364ce50e3ba0a2,0.0037213,0.020367,0.1827,0.000,0.007,0.77157,1,,
bc17a57fdb7451088e326bb258fe96cd,0.0035999,0.007157,0.503,0.003,0.005,0.77571,0.629,,
1917ecc6a185cc9f86b3d6edfa1045fa,0.0034114,0.005653,0.6035,0.004,0.004,0.77963,0.651,,
