Contrast:,CC_CM,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
b78a0754100e227efd07a3246121fd94,0.0607506,0.1162674,0.5225,0.061,0.078,0.07379,0.333,,,,,,
de64bf9fc57519eb73e7ede2e89fbc08,0.0476835,0.098954,0.4819,0.096,0.004,0.1317,0.983,,0.05791,,,,
74f8324925049e692ded7c8f8131a7de,0.0352151,0.0234269,1.5032,0.015,0.076,0.17447,0.001,***,0.04277,,,,
6cbb4ad4bea065572ee15c90299997ed,0.0343932,0.0470988,0.7302,0.061,0.042,0.21625,0.9,,0.04178,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,0.0308326,0.0501345,0.615,0.057,0.022,0.25369,0.909,,0.03744,,,,
2d9c0927c41fe00977c4cc751b5c52b4,0.0295138,0.0264685,1.1151,0.026,0.073,0.28954,0.001,***,,,,,
cb493cf3102179d939b8a47f700a786f,0.0283406,0.0181445,1.5619,0.014,0.063,0.32396,0.001,***,,,,,
5c2b47983d92cc3cc09bc005906b2212,0.0256595,0.0167825,1.5289,0.012,0.057,0.35513,0.001,***,,,,,
2ae0f52560c00c969f820ae6b6fb115f,0.0189788,0.0337693,0.562,0.03,0.014,0.37818,0.849,,,,,,
460704bd2880b6e0c87caa2070b20097,0.0187386,0.012605,1.4866,0.012,0.043,0.40094,0.001,***,,,,,
d2cd00fc747246ad6362f1c3987f7cdc,0.0173671,0.0565727,0.307,0,0.035,0.42203,0.002,**,,,,,
6731bc05c8ba7ada6bf032d14af05613,0.0153392,0.0527743,0.2907,0.031,0.002,0.44066,0.998,,,,,,
e65fd9bdecd6971a6df6257338244e89,0.0134604,0.0088276,1.5248,0.007,0.03,0.45701,0.001,***,,,,,
fe81b53d077a7fa4f3813377bd51caf4,0.0123445,0.0202347,0.6101,0.016,0.014,0.472,0.588,,,,,,
dd7386872132054a57c15a92a42c1b0e,0.0122202,0.0207095,0.5901,0.011,0.017,0.48685,0.195,,,,,,
e36bdf6700966998f0c6929b13db80ab,0.0121836,0.0091043,1.3382,0.012,0.027,0.50164,0.011,*,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,0.011523,0.00933,1.235,0.014,0.022,0.51564,0.19,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,0.0112238,0.0223561,0.502,0.018,0.009,0.52927,0.815,,,,,,
522fccaf4e20abef717533bd224bd68d,0.0107006,0.0311804,0.3432,0.021,0,0.54227,0.99,,,,,,
f68daaca652da726aaabf841a3a3a4ba,0.010082,0.0510964,0.1973,0.02,0.002,0.55451,0.817,,,,,,
bbc60ed04bef5a4b294bec429e7c7ec3,0.0100622,0.0521425,0.193,0.02,0,0.56673,0.893,,,,,,
5ca73d1ce0a4b8e42d36f3d0088dc937,0.0098849,0.0268621,0.368,0.005,0.016,0.57874,0.127,,,,,,
5d95084e371b3b95f082aac9ecf80db1,0.0089132,0.0371967,0.2396,0.018,0,0.58957,0.996,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,0.0088502,0.0295294,0.2997,0.018,0.002,0.60032,0.975,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,0.00862,0.0113998,0.7562,0.01,0.015,0.61079,0.321,,,,,,
b95192f739d4edba244aa50a65ad657d,0.0084586,0.0071478,1.1834,0.004,0.018,0.62106,0.001,***,,,,,
ebd2450897a18d4158d92b6d6e950b26,0.0083145,0.0151566,0.5486,0.01,0.009,0.63116,0.482,,,,,,
f427cc77a3175ac760d5b1556b65ba17,0.0068171,0.0046875,1.4543,0.006,0.015,0.63944,0.002,**,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,0.006113,0.0057659,1.0602,0.009,0.012,0.64686,0.379,,,,,,
305fad7794af19b61bd043d53cde28ec,0.0060965,0.0039839,1.5303,0.003,0.013,0.65427,0.001,***,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,0.0060764,0.003933,1.545,0.002,0.013,0.66165,0.001,***,,,,,
c2556d10d86d2961efe7110b18d380c7,0.0058648,0.0046708,1.2556,0.006,0.013,0.66877,0.062,.,,,,,
03aeed40e95531cde1ff374146f1a068,0.005501,0.0288635,0.1906,0.011,0,0.67545,1,,,,,,
230cf8978871a250f5f7ae8a91aadf94,0.0052097,0.0218545,0.2384,0.007,0.004,0.68178,0.302,,,,,,
664a5696761c2beb24c9a1644748c2f6,0.0050194,0.0303307,0.1655,0.01,0,0.68788,0.711,,,,,,
1917ecc6a185cc9f86b3d6edfa1045fa,0.0050145,0.0087211,0.575,0.004,0.008,0.69397,0.145,,,,,,
a43d008f9f946bca0a7a5c804d664b0f,0.0046897,0.0118719,0.395,0.008,0.003,0.69966,0.735,,,,,,
081f42427bf6cf3bb2471f4efec3520e,0.004505,0.010807,0.4169,0.009,0.002,0.70513,1,,,,,,
e6e36c7acbdc33af814292da08b44b99,0.0042991,0.0170524,0.2521,0.008,0.001,0.71035,0.787,,,,,,
663c7e30015ac1dcc462560859bd61bf,0.0042314,0.0179589,0.2356,0,0.008,0.71549,0.017,*,,,,,
dc83596d4d0bd0e144aead7a53486fcd,0.004086,0.0074743,0.5467,0.008,0.001,0.72046,1,,,,,,
bc17a57fdb7451088e326bb258fe96cd,0.003966,0.0054524,0.7274,0.004,0.007,0.72527,0.294,,,,,,
1b926b7a41ac4a734571c261084ad062,0.0034951,0.0091867,0.3805,0.002,0.005,0.72952,0.184,,,,,,
2e6b346f121a96cb91ce439380bbeafc,0.0034348,0.0212509,0.1616,0.007,0,0.73369,0.907,,,,,,
3e419195da70fbb707bf9446d00d2b93,0.0033554,0.0056681,0.592,0.006,0.004,0.73777,0.862,,,,,,
7898d61143c7a5628cdbfdd1754a6079,0.0032782,0.0136201,0.2407,0.007,0,0.74175,0.878,,,,,,
336d367de8fd84bc93b4f8f23dc9dde2,0.0032388,0.0104399,0.3102,0.005,0.002,0.74568,0.639,,,,,,
9f961d0b7eadbbc47c9e1fc80a391778,0.0032205,0.0074158,0.4343,0.006,0.001,0.74959,0.99,,,,,,
35ba0ce07309312135a5e61c896e5c8a,0.0032059,0.0021015,1.5256,0.001,0.007,0.75349,0.001,***,,,,,
5a5cd60c401650043551c33f344c8522,0.0030106,0.001993,1.5106,0.003,0.008,0.75714,0.001,***,,,,,
c39e740778882bfb46217540ed1dcc86,0.0029523,0.012214,0.2417,0.006,0,0.76073,0.893,,,,,,
71d02c5aa4d978c87190eca2004dce60,0.0028603,0.0163261,0.1752,0.005,0.001,0.7642,0.509,,,,,,
d3c25a17251d966efda9c704331bde28,0.0028542,0.017598,0.1622,0.005,0.001,0.76767,0.534,,,,,,
d3dc1bb6adf5f414ef01e2f6a97ae0cc,0.0028507,0.0121482,0.2347,0.006,0,0.77113,1,,,,,,
610a48e1e2e6635df613b88712801f10,0.0028153,0.0084757,0.3322,0.005,0.001,0.77455,0.769,,,,,,
91d688c973fa105eac82ae34536569bc,0.0028009,0.0046869,0.5976,0.005,0.005,0.77795,0.529,,,,,,
3b617940a8ae4d46db58d0a83793f0e8,0.0026936,0.0183768,0.1466,0.005,0,0.78123,0.894,,,,,,
e80b7ee7b8da33d2126ee5c1d716faa5,0.0025884,0.0055597,0.4656,0.001,0.004,0.78437,0.035,*,,,,,
1c855e0a65b01e49d69a1107c6efd89a,0.00257,0.0091246,0.2817,0,0.005,0.78749,0.026,*,,,,,
6bd60643c27bb01d3c586791409c405a,0.0025408,0.0071366,0.356,0.003,0.003,0.79058,0.374,,,,,,
a41d252e01ef0557ecb28e486eadb2a2,0.002485,0.0052791,0.4707,0.003,0.003,0.79359,0.458,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0023413,0.002036,1.1499,0.002,0.005,0.79644,0.026,*,,,,,
e6ef23848e7b8ab80ce4ec4280b50428,0.0022305,0.005704,0.391,0.003,0.002,0.79915,0.54,,,,,,
4f283e94aab2450ece1c0cdadcccdf8d,0.0022243,0.0121395,0.1832,0.004,0,0.80185,0.943,,,,,,
787a3df59922afc90301151ea01b7c7b,0.0022116,0.0044535,0.4966,0.004,0.001,0.80454,0.842,,,,,,
